ID;Provincia;Localidad;Codigo postal;Direccion;Margen;Rotulo;Precio gasolina 95 E5;Precio gasolina 98 E5;Precio gasoleo A
129;ALBACETE;POZO CANADA;2099;CALLE ANTONIO MACHADO, 2;D;E.S. LEDANA ;-1;-1;1.679
130;ALBACETE;POZOHONDO;2141;CR CM-313 61,7;I;REPSOL;1.829;-1;1.769
131;ALBACETE;NAVA DE ABAJO;2142;CALLE DISEMINADOS, 1;D;CAMPAREZ;1.639;-1;1.559
132;ALBACETE;POZO-LORENTE;2154;POLIGONO PARAJE RECIAL, 2;I;SAT SANTA CRUZ DE POZO LORENTE;-1;-1;1.635
133;ALBACETE;POZUELO;2327;CARRETERA M 313 KM. 50;I;INLOCOR S.L.;1.759;1.869;1.709
134;ALBACETE;RIOPAR;2450;CARRETERA CM-412 KM. 199,5;I;CEPSA;1.789;-1;1.749
135;ALBACETE;ROBLEDO;2340;CARRETERA NACIONAL 320 KM. 289;D;CANOIL;1.69;-1;1.65
136;ALBACETE;RODA [LA];2630;CARRETERA A-31 KM. 50;D;GALP;1.759;1.889;1.739
137;ALBACETE;RODA [LA];2630;ALFREDO ATIENZA, 149-151;D;LA REMEDIADORA;-1;-1;1.545
138;ALBACETE;RODA [LA];2630;CARRETERA MADRID CARTAGENA KM. 209;N;BP CASA JUANITO RESTAURANTE;1.729;-1;1.719
139;ALBACETE;RODA [LA];2630;CARRETERA CM-3114 KM. 0,1;I;REPSOL;1.709;1.849;1.719
140;ALBACETE;RODA [LA];2630;POLIGONO AVENIDA PRIMERA, 17;D;HAM;-1;-1;-1
141;ALBACETE;RODA [LA];2630;CALLE ALFREDO ATIENZA, 156;D;REPSOL;1.719;1.859;1.729
142;ALBACETE;RODA [LA];2630;CARRETERA AB101 KM. 0,2;N;GASPLAY;1.679;-1;1.569
143;ALBACETE;RODA [LA];2630;MARTIRES 209;D;CEPSA;1.654;1.786;1.669
144;ALBACETE;RODA [LA];2630;AUTOVIA A-31 KM. 34,50;I;GALP;1.759;1.889;1.739
145;ALBACETE;RODA [LA];2630;AUTOVIA A-31 KM. 40;D;REPSOL;1.719;1.869;1.709
146;ALBACETE;RODA [LA];2630;CR NACIONAL 301 km 210,300;N;RODATRANS;-1;-1;1.51
147;ALBACETE;SOCOVOS;2435;AVENIDA DE LA PAZ, 3;D;NAVARRO Y VALERO, S.L;1.749;1.849;1.719
148;ALBACETE;TARAZONA DE LA MANCHA;2100;CL AVENIDA DE LA RODA, 1;I;REPSOL;1.669;-1;1.679
149;ALBACETE;TARAZONA DE LA MANCHA;2100;AVENIDA ALBACETE, 35;D;LA GAVIOTA GASOLINERAS;1.629;-1;1.589
150;ALBACETE;TARAZONA DE LA MANCHA;2100;CARRETERA VILLAGARCIA KM. 0,1;I;COOP. LA UNION AB;1.549;-1;1.568
151;ALBACETE;TOBARRA;2500;AVENIDA GUARDIA CIVIL, 162;D;NTRA. SRA. DE LA ENCARNACION;1.649;-1;1.569
152;ALBACETE;TOBARRA;2500;AVENIDA GUARDIA CIVIL, 233;D;REPSOL;1.759;1.899;1.749
153;ALBACETE;TOBARRA;2500;CAMINO CAMINO DEL GUIJARRAL, 0;I;SAN ROQUE DE TOBARRA S. COOP. DE C-LM;-1;-1;1.62
154;ALBACETE;TOBARRA;2500;AVENIDA GUARDIA CIVIL, 114;D;E.S. TOBARRA;1.749;-1;1.649
